parameter_id,subsystem,symbolic_relationship,authority,estimate_status,depends_on,validation_needed,notes
overall_height_concept,structure,prompt_scale_constraint_only,pending_measurement,estimate_pending_measurement,reference_research,reviewed_reference_or_measurement,"Prompt-level concept; not fabrication authority."
string_count_concept,strings,prompt_string_count_constraint,pending_measurement,estimate_pending_measurement,reference_research,reviewed_reference_or_design_decision,"Prompt-level three-string constraint; all string specifications pending."
scale_length,strings,nut_to_bridge_datum_distance,pending_measurement,estimate_pending_measurement,string_datum_scheme,measured_or_reviewed_scale,"No absolute value assigned."
stop_position_ratio,stop_system,stop_position / scale_length,pending_measurement,estimate_pending_measurement,scale_length_and_tuning_plan,measured_stop_position,"Symbolic ratio only; no tuning or note values."
stop_contact_travel,stop_system,clearance_to_string + required_contact_displacement,pending_measurement,estimate_pending_measurement,string_centerline_and_contact_head,contact_rig_measurement,"Open relationship; no travel value assigned."
linkage_ratio,linkage,stop_output_travel / player_input_travel,pending_measurement,estimate_pending_measurement,stop_contact_travel_and_control_mockup,linkage_mule_measurement,"Ratio is symbolic until measured."
lost_motion_budget,linkage,input_motion - effective_stop_motion,pending_measurement,estimate_pending_measurement,linkage_choice,measured_backlash,"Budget is a named unknown."
bow_clearance_envelope,performer,bow_swept_volume - mechanism_envelope,pending_measurement,estimate_pending_measurement,posture_mockup,ergonomic_mockup_review,"No envelope dimension assigned."
frame_deflection_ratio,structure,measured_deflection / string_or_stop_load_reference,pending_measurement,estimate_pending_measurement,frame_mockup,deflection_measurement,"Symbolic review metric only."
service_access_clearance,service,tool_access_envelope - obstructed_mechanism_zone,pending_measurement,estimate_pending_measurement,service_mockup,service_access_review,"No clearance value assigned."
